City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kirakira,92,SB,1584564028,81,-10.45,161.92,79.7,2.8
Zhytomyr,22,UA,1584564028,69,50.26,28.68,42.26,8.34
Makakilo City,75,US,1584564028,74,21.35,-158.09,80.6,4.7
Yaan,0,NG,1584564029,28,7.38,8.57,90.68,2.66
Tasiilaq,20,GL,1584564029,56,65.61,-37.64,12.2,3.36
Dikson,100,RU,1584564029,99,73.51,80.55,-8.5,8.97
Semnan,100,IR,1584564029,50,35.57,53.4,60.98,3.56
Nouadhibou,0,MR,1584564029,63,20.93,-17.03,66.2,16.11
Rio Grande,75,BR,1584564029,83,-32.03,-52.1,78.8,17.22
Mogzon,54,RU,1584564029,71,51.74,111.96,12.74,3.83
Itarema,97,BR,1584564029,87,-2.92,-39.92,78.8,4.94
Inhambane,2,MZ,1584564029,68,-23.86,35.38,76.28,11.1
Ayan,100,RU,1584564029,76,56.45,138.17,12.2,7.47
Haines Junction,99,CA,1584564029,91,60.75,-137.51,24.26,6.15
Nemuro,4,JP,1584564029,82,43.32,145.57,33.98,11.65
Granada,20,ES,1584564030,47,37.19,-3.61,60.01,10.29
Tombouctou,18,ML,1584564030,12,20.0,-3.0,76.46,3.62
Hays,75,US,1584564030,69,30.05,-98.03,84.2,13.87
Pangkalanbuun,100,ID,1584564030,97,-2.68,111.62,73.22,1.21
Pisco,20,PE,1584563818,30,-13.7,-76.22,77.0,11.41
Fort Nelson,75,CA,1584564030,46,58.81,-122.7,28.4,8.05
Goundam,92,ML,1584563767,13,16.41,-3.67,88.7,5.35
Aksu,56,CN,1584564030,30,41.12,80.26,45.86,1.1
Ariquemes,100,BR,1584564030,92,-9.91,-63.04,80.24,3.58
Puerto Colombia,20,CO,1584564031,62,10.99,-74.95,84.2,23.04
Uvat,84,RU,1584564031,91,59.14,68.9,27.5,11.5
Polunochnoye,0,RU,1584564031,89,60.87,60.42,26.6,5.03
Manturovo,100,RU,1584564031,97,58.34,44.76,36.86,9.66
Kavieng,70,PG,1584564031,75,-2.57,150.8,81.68,5.44
Rock Springs,75,US,1584564031,64,41.59,-109.2,37.4,25.28
Hofn,100,IS,1584564031,75,64.25,-15.21,35.42,34.4
Son La,4,VN,1584563741,89,21.32,103.9,66.92,0.38
La Ronge,40,CA,1584564031,39,55.1,-105.28,8.6,5.82
Borger,90,NL,1584564031,93,52.92,6.79,52.0,8.05
Boksitogorsk,100,RU,1584564032,91,59.47,33.85,41.9,12.62
Unaí,0,BR,1584564032,74,-16.36,-46.91,75.38,3.67
Ola,100,RU,1584564032,72,59.58,151.28,-0.4,5.7
Gunjur,0,GM,1584564032,72,13.2,-16.73,69.62,10.36
Maningrida,96,AU,1584564032,80,-12.07,134.27,79.88,14.81
Batticaloa,80,LK,1584563995,95,7.71,81.69,74.84,0.27
Chulym,100,RU,1584564032,96,55.1,80.96,23.18,7.07
Katima Mulilo,100,NA,1584564032,100,-17.5,24.27,71.6,1.12
Ucluelet,40,CA,1584564032,76,48.93,-125.55,55.0,8.05
Dunedin,71,NZ,1584564032,72,-45.87,170.5,59.0,1.99
Madison,75,US,1584564033,60,34.73,-86.57,77.0,16.11
Catalão,14,BR,1584564033,81,-18.17,-47.95,76.64,3.96
Yulara,0,AU,1584564033,29,-25.24,130.99,77.0,6.93
Poya,0,NC,1584564033,71,-21.35,165.15,77.18,12.3
Chekhov,84,RU,1584564033,52,55.14,37.47,46.4,13.42
Rodolfo Sánchez Taboada,100,MX,1584564033,82,31.72,-116.57,55.99,7.0
Shunyi,0,CN,1584564033,15,40.12,116.65,50.0,20.13
Isiro,100,CD,1584564033,73,2.77,27.62,70.52,2.06
Mirador,100,BR,1584564033,91,-6.37,-44.36,77.54,4.65
Port Lincoln,50,AU,1584563764,53,-34.73,135.87,70.7,5.97
Labuhan,97,ID,1584564033,93,-6.88,112.21,74.66,2.01
Arlit,0,NE,1584564033,7,18.74,7.39,82.94,11.88
Huilong,16,CN,1584564034,78,31.81,121.66,62.01,9.91
Salalah,20,OM,1584564034,73,17.02,54.09,77.0,4.7
Lavumisa,0,SZ,1584564034,73,-27.31,31.89,75.2,2.24
Padang,93,ID,1584564034,98,-0.95,100.35,68.0,1.1
Ust'-Kut,99,RU,1584564034,95,56.79,105.77,21.74,8.05
Bac Lieu,77,VN,1584564034,83,9.29,105.72,76.82,4.16
Korisos,3,GR,1584564034,65,40.5,21.38,41.0,2.24
Cariati,0,IT,1584564034,84,39.49,16.96,46.0,11.61
Valley City,90,US,1584564034,100,46.92,-98.0,28.4,8.05
Manakara,100,MG,1584564034,94,-22.13,48.02,71.6,5.82
Kurumkan,100,RU,1584564034,76,54.3,110.3,6.8,2.28
Cabra,8,ES,1584564035,48,37.47,-4.44,66.2,8.05
Narsaq,75,GL,1584564035,68,60.92,-46.05,28.4,5.82
Orlik,52,RU,1584564035,76,52.52,99.83,7.52,6.85
Koudougou,15,BF,1584564035,37,12.25,-2.37,88.16,6.71
Arkhangelsk,40,RU,1584564035,96,64.54,40.54,35.6,6.71
Takoradze,73,GH,1584564035,84,4.88,-1.76,80.78,7.27
Megion,100,RU,1584564035,79,61.03,76.11,21.2,11.18
Marsh Harbour,100,BS,1584564035,77,26.54,-77.06,75.02,12.84
Chifeng,0,CN,1584564035,46,42.27,118.96,27.5,21.9
Newark,1,US,1584563832,46,40.74,-74.17,57.0,10.29
Wuda,0,CN,1584564035,37,39.5,106.71,36.14,3.74
Schattdorf,0,CH,1584564036,71,46.87,8.65,53.01,3.36
Villablino,0,ES,1584564036,87,42.94,-6.32,52.0,4.7
Maniitsoq,100,GL,1584564036,65,65.42,-52.9,28.76,19.71
Dingle,42,PH,1584564036,84,11.0,122.67,74.3,10.07
Visby,100,SE,1584564036,75,57.64,18.3,44.01,12.75
Clyde River,90,CA,1584564036,83,70.47,-68.59,-4.0,39.15
Tambo,99,PE,1584564036,96,-14.8,-73.92,49.1,11.9
Partizansk,100,RU,1584564036,96,43.13,133.13,33.26,1.63
Acquaviva delle Fonti,0,IT,1584564036,87,40.9,16.84,57.99,4.7
Ponta do Sol,75,PT,1584564036,72,32.67,-17.1,62.6,21.92
Harbour Breton,0,CA,1584564037,64,47.48,-55.8,31.82,28.43
Yantongshan,100,CN,1584564037,99,43.29,126.01,32.72,2.73
Bonavista,61,CA,1584564037,69,48.65,-53.11,32.9,16.89
Celano,0,IT,1584564037,81,42.09,13.54,54.0,5.82
Hamilton,90,US,1584564037,100,39.18,-84.53,54.0,3.36
Kozhva,100,RU,1584564037,97,65.11,57.05,26.42,4.61
Nelson Bay,0,AU,1584564037,93,-32.72,152.15,63.0,4.7
Vanimo,79,PG,1584564037,72,-2.67,141.3,82.76,4.97
Shimanovsk,6,RU,1584564037,95,52.0,127.7,14.72,5.91
Itoman,75,JP,1584564037,83,26.12,127.67,71.6,16.11
Nichinan,79,JP,1584564037,81,31.6,131.37,60.62,7.94
Ust'-Kulom,100,RU,1584564038,94,61.69,53.69,32.54,9.82
Mendi,94,PG,1584564038,97,-6.18,143.65,54.68,2.21
Mackay,75,AU,1584564038,94,-21.15,149.2,72.0,11.41
Loíza,75,PR,1584564038,74,18.43,-65.88,82.0,17.22
Vankleek Hill,75,CA,1584564038,37,45.52,-74.65,39.0,3.36
Seoul,40,KR,1584563947,81,37.57,126.98,53.6,8.05
Key West,40,US,1584564034,61,24.56,-81.78,82.4,14.99
Makaha,75,US,1584564038,74,21.47,-158.22,80.6,4.7
Coyhaique,86,CL,1584563830,44,-45.58,-72.07,60.8,10.29
Trzcianka,100,PL,1584564038,76,53.04,16.46,49.1,7.61
Krasnosel'kup,96,RU,1584564038,94,65.7,82.47,16.7,12.93
Lambaréné,100,GA,1584564038,97,-0.7,10.24,76.28,2.84
Anloga,20,GH,1584564039,83,5.79,0.9,82.4,12.75
Shelburne,1,CA,1584564039,38,44.08,-80.2,41.0,10.29
Mosal'sk,100,RU,1584564039,79,54.49,34.98,41.9,15.84
Surin,100,TH,1584564004,79,14.88,103.49,86.0,4.9
Yangjiang,100,CN,1584564039,83,21.85,111.97,70.7,1.57
Oyón,100,PE,1584564039,97,-10.67,-76.77,40.64,8.32
Faanui,24,PF,1584564039,68,-16.48,-151.75,82.94,2.86
Tiznit Province,0,MA,1584564039,74,29.58,-9.5,49.28,2.75
Bwanga,100,TZ,1584564039,97,-3.03,31.76,65.12,8.95
Letlhakane,33,BW,1584564040,46,-21.42,25.58,73.94,5.82
Margate,64,GB,1584564040,87,51.38,1.39,51.01,10.29
Kutulik,95,RU,1584564040,92,53.35,102.78,25.34,6.91
Yanam,0,IN,1584564040,88,16.73,82.22,73.94,3.29
Brownfield,1,US,1584564040,60,33.18,-102.27,75.0,10.29
Killam,100,CA,1584564040,66,52.78,-111.85,18.0,1.01
Beidao,0,CN,1584564040,25,34.57,105.89,40.82,2.37
Darlawn,0,IN,1584563896,60,24.02,92.9,57.74,3.09
Grand Gaube,40,MU,1584564040,88,-20.01,57.66,77.0,4.03
Bubaque,34,GW,1584564040,69,11.28,-15.83,78.44,20.31
Coihueco,0,CL,1584564040,26,-36.62,-71.83,82.4,11.41
Okhotsk,0,RU,1584564040,71,59.38,143.3,-0.94,6.4
West Bay,27,KY,1584564041,60,19.37,-81.42,82.99,5.01
Nísia Floresta,24,BR,1584564041,74,-6.09,-35.21,86.0,12.75
Nadym,100,RU,1584564041,93,65.53,72.52,23.54,15.37
Kouango,100,CF,1584564041,71,4.99,19.96,79.52,9.98
Krasne,68,UA,1584564041,74,49.91,24.61,37.4,2.24
Calvinia,0,ZA,1584564041,25,-31.47,19.78,61.34,2.66
Westport,1,US,1584563827,29,41.14,-73.36,55.0,9.17
Henderson,40,US,1584563827,62,36.04,-114.98,57.99,11.41
Nosy Varika,100,MG,1584564041,93,-20.58,48.53,74.66,4.94
Hīt,77,IQ,1584564041,40,33.64,42.83,64.22,17.67
Cruzeiro do Sul,37,BR,1584564042,76,-29.51,-51.99,86.0,1.81
Grand Baie,40,MU,1584564042,88,-20.02,57.58,77.0,4.03
Santa Barbara,1,US,1584563787,47,34.42,-119.7,64.99,14.99
Secunda,33,ZA,1584564042,89,-26.55,29.17,59.0,3.87
Dudinka,75,RU,1584564042,92,69.41,86.18,6.8,17.9
Bakel,0,SN,1584564042,12,14.9,-12.46,87.8,10.0
Barra de Tecoanapa,0,MX,1584564042,43,16.52,-98.75,91.22,13.24
Buala,57,SB,1584564042,80,-8.14,159.59,80.6,1.92
Pangody,100,RU,1584564042,96,65.85,74.49,23.36,10.78
Distrikt Brokopondo,51,SR,1584564042,85,4.75,-55.17,78.8,8.14
Santa Rosa,20,PH,1584564042,73,14.31,121.11,77.0,3.36
Barceloneta,75,PR,1584564042,74,18.45,-66.54,82.0,17.22
Kropotkin,26,RU,1584564043,52,45.44,40.58,43.0,12.91
San Patricio,20,MX,1584564043,74,19.22,-104.7,84.2,11.41
Kitob,35,UZ,1584564043,52,39.08,66.83,55.76,4.34
Rybnoye,56,RU,1584564043,63,54.73,39.51,39.99,5.99
Nabire,100,ID,1584564043,99,-3.37,135.48,72.5,0.72
Narwar,0,IN,1584564043,29,25.65,77.9,70.7,5.57
Great Falls,90,US,1584564002,85,47.5,-111.3,28.99,5.17
Ubari,100,LY,1584564043,26,26.59,12.78,75.56,7.92
Quatre Cocos,40,MU,1584564043,88,-20.21,57.76,77.0,14.7
Elizabeth City,75,US,1584564043,59,36.29,-76.25,63.0,12.75
Road Town,40,VG,1584563955,69,18.42,-64.62,82.4,8.05
Deputatsky,0,RU,1584564043,93,69.3,139.9,-29.2,2.91
Kaeo,0,NZ,1584564044,92,-35.1,173.78,61.0,5.12
Siilinjärvi,72,FI,1584564044,74,63.08,27.67,37.4,8.05
Kamenka,0,RU,1584564044,44,51.32,42.77,37.99,7.94
Bengkulu,100,ID,1584564044,97,-3.8,102.27,73.04,5.12
Sosnovo-Ozerskoye,100,RU,1584564044,88,52.52,111.54,14.18,7.47
Belaya Gora,0,RU,1584564044,89,68.53,146.42,-25.96,1.14
Xuanzhou,0,CN,1584564044,75,30.95,118.76,56.12,5.5
Taltal,0,CL,1584564044,71,-25.4,-70.48,66.56,7.56
Ozieri,21,IT,1584564044,93,40.59,9.0,51.8,2.24
Fes,75,MA,1584564044,55,34.04,-5.0,66.2,13.87
Suwałki,100,PL,1584563882,94,54.11,22.93,48.99,11.01
North Bend,90,US,1584564045,81,43.41,-124.22,55.0,10.29
Shimoda,0,JP,1584564045,75,34.67,138.95,46.0,22.24
Micheweni,100,TZ,1584564045,75,-4.97,39.83,84.74,8.21
Moscow,40,RU,1584563988,52,55.75,37.62,46.4,11.18
Brežice,0,SI,1584564045,76,45.9,15.59,51.8,0.81
Lüleburgaz,33,TR,1584564045,78,41.4,27.36,39.0,10.29
Batemans Bay,45,AU,1584564045,66,-35.72,150.18,68.0,1.01
Nauta,31,PE,1584564045,56,-4.51,-73.58,87.8,0.87
Maceió,75,BR,1584564045,88,-9.67,-35.74,80.6,4.7
Spornoye,0,RU,1584564045,38,50.84,37.29,41.0,6.71
Panabá,0,MX,1584564045,43,21.28,-88.27,91.04,9.91
Ndélé,56,CF,1584564046,21,8.41,20.65,81.32,5.64
Coahuayana Viejo,40,MX,1584564046,45,18.73,-103.68,84.2,11.41
Derzhavīnsk,25,KZ,1584564046,96,51.1,66.32,17.78,9.8
Mossamedes,100,AO,1584564046,76,-15.2,12.15,73.58,10.58
Mount Darwin,4,ZW,1584564046,95,-16.77,31.58,62.96,3.02
Saint-Augustin,46,CA,1584564046,68,51.23,-58.65,22.46,17.87
Necochea,100,AR,1584563785,95,-38.55,-58.74,66.99,1.01
Chapaevsk,0,RU,1584564046,48,52.98,49.71,39.2,11.18
Kalakamati,22,BW,1584564046,67,-20.59,27.31,66.02,7.58
Agen,0,FR,1584564046,81,44.2,0.63,59.0,2.28
Gambo,80,CF,1584563908,94,4.65,22.26,70.52,3.44
Hambantota,30,LK,1584564047,86,6.12,81.12,80.6,14.74
Petropavlovsk-Kamchatskiy,0,RU,1584564047,53,53.05,158.65,21.2,15.66
Velikodvorskiy,96,RU,1584564047,82,55.25,40.67,37.76,12.3
Vila Velha,40,BR,1584564047,78,-20.33,-40.29,82.4,6.93
Tautira,20,PF,1584564047,66,-17.73,-149.15,87.8,5.82
Mayo,90,US,1584564047,37,38.89,-76.51,57.99,4.7
Jejūri,0,IN,1584564047,40,18.28,74.17,73.04,7.34
Severo-Kuril'sk,99,RU,1584564047,94,50.68,156.12,24.44,25.84
Kahului,20,US,1584564047,69,20.89,-156.47,80.01,6.93
Jacareacanga,75,BR,1584564047,94,-6.22,-57.75,77.0,3.36
Trenggalek,94,ID,1584564047,93,-8.05,111.72,71.78,0.92
Iqaluit,20,CA,1584564048,65,63.75,-68.51,3.2,13.87
Katangli,92,RU,1584564048,96,51.71,143.23,20.12,0.78
Staraya Poltavka,0,RU,1584564048,42,50.48,46.48,38.84,5.26
Nexø,90,DK,1584563818,100,55.06,15.13,44.6,12.75
Havre-St-Pierre,40,CA,1584564048,68,50.23,-63.6,26.6,29.97
Pedernales,20,DO,1584564048,41,18.04,-71.74,91.4,16.11
Candolim,20,IN,1584564048,78,15.52,73.76,80.6,8.05
Buchanan,75,LR,1584564048,78,5.88,-10.05,82.4,5.82
Hoquiam,1,US,1584564048,66,46.98,-123.89,53.01,4.7
Saint-Pierre,2,RE,1584564048,73,-21.34,55.48,77.0,8.05
Tura,0,IN,1584564004,38,25.52,90.22,67.46,3.31
Province of Mantua,0,IT,1584564049,66,45.17,10.78,57.0,8.05
Lorengau,82,PG,1584564049,71,-2.02,147.27,82.22,0.81
Çayeli,100,TR,1584563937,81,41.09,40.73,33.08,6.17
Acaraú,97,BR,1584564049,87,-2.89,-40.12,78.8,4.94
Pāveh,88,IR,1584564049,97,35.04,46.36,37.94,8.1
Manicoré,75,BR,1584563853,79,-5.81,-61.3,84.2,3.36
Salihli,21,TR,1584564049,77,38.48,28.15,32.9,2.91
Hyères,19,FR,1584564049,87,43.12,6.12,55.99,2.24
Kununurra,13,AU,1584563764,88,-15.77,128.73,75.2,4.7
Dodge City,1,US,1584564049,59,37.75,-100.02,73.0,13.0
Sládkovičovo,0,SK,1584564050,66,48.2,17.64,53.01,3.36
Bambanglipuro,99,ID,1584564050,91,-7.95,110.28,74.12,4.85
Khorixas,17,NA,1584564050,73,-20.37,14.97,71.42,8.59
Ouagadougou,58,BF,1584564050,32,12.36,-1.54,96.8,4.7
Mlonggo,34,ID,1584564050,80,-6.53,110.7,81.5,9.93
Lagos,20,NG,1584564006,79,6.58,3.75,84.2,5.82
Chinhoyi,37,ZW,1584564050,84,-17.37,30.2,64.22,4.61
Kieta,63,PG,1584564050,77,-6.22,155.63,81.14,5.21
Bajil,36,YE,1584564050,69,15.06,43.29,79.16,5.88
Gogrial,4,SS,1584564050,15,8.53,28.1,83.66,4.85
Thinadhoo,92,MV,1584564051,73,0.53,72.93,84.02,9.53
Sittwe,0,MM,1584564051,69,20.15,92.9,73.4,12.12
Vostok,100,RU,1584564051,95,46.49,135.88,29.66,5.57
Puerto Madryn,0,AR,1584564051,35,-42.77,-65.04,74.66,21.03
Bela Vista,99,BR,1584564051,48,-22.11,-56.52,90.5,0.29
Sekoma,64,BW,1584564051,38,-24.4,23.88,77.0,5.95
Scottsbluff,90,US,1584564051,81,41.87,-103.67,42.8,10.29
Ullapool,61,GB,1584564051,81,57.9,-5.16,42.01,10.0
Novobiryusinskiy,100,RU,1584564051,91,56.96,97.71,25.16,7.56
Yueyang,3,CN,1584564051,73,29.33,113.09,56.3,6.89
Oodweyne,13,SO,1584564051,42,9.41,45.06,71.06,6.89
Springbok,0,ZA,1584564052,55,-29.66,17.89,56.48,4.85
Carbondale,90,US,1584563399,93,37.73,-89.22,60.8,16.11
Nahavand,100,IR,1584564052,93,34.19,48.38,37.76,8.86
Redmond,20,US,1584563766,61,47.67,-122.12,55.0,5.82
Abu Samrah,4,SY,1584564052,80,35.3,37.18,41.9,1.48
Beloha,56,MG,1584564052,82,-25.17,45.05,61.52,6.71
Moose Factory,1,CA,1584564052,52,51.26,-80.61,17.6,13.87
San Juan,0,AR,1584564052,25,-31.54,-68.54,84.56,10.38
Tevriz,28,RU,1584564052,95,57.51,72.4,22.1,7.63
Rome,90,US,1584564005,33,43.21,-75.46,48.99,6.71
Pacific Grove,90,US,1584564052,58,36.62,-121.92,57.2,10.29
Salta,75,AR,1584564052,68,-24.79,-65.41,80.6,3.36
Tra Vinh,100,VN,1584564053,86,9.93,106.35,75.92,4.9
Zabaykal'sk,0,RU,1584564053,78,49.63,117.32,15.98,9.75
Auray,0,FR,1584564053,87,47.67,-2.99,48.99,1.12
Deer Lake,90,CA,1584564053,63,49.17,-57.43,30.2,12.75
Sinnamary,100,GF,1584564053,77,5.38,-52.95,80.78,18.52
Port Hardy,20,CA,1584564053,87,50.7,-127.42,42.8,6.93
Lagoa,98,PT,1584564053,74,39.05,-27.98,56.48,22.62
Oriximiná,19,BR,1584564053,67,-1.77,-55.87,86.9,5.57
Portlethen,0,GB,1584564053,60,57.05,-2.13,39.2,9.17
Pendleton,1,US,1584564053,66,45.67,-118.79,57.0,6.93
Nybro,100,SE,1584564053,70,56.74,15.91,43.0,10.29
Kamaishi,41,JP,1584564054,78,39.27,141.88,37.58,4.18
Yashan,65,CN,1584564054,92,22.2,109.94,68.9,5.06
Kushmurun,22,KZ,1584564054,90,52.45,64.63,21.92,8.5
Moundou,18,TD,1584564054,17,8.57,16.08,82.58,2.84
Sarkand,75,KZ,1584564054,76,45.41,79.92,41.18,1.05
Portadown,26,GB,1584564054,86,54.42,-6.44,41.0,3.36
Nadvoitsy,0,RU,1584564054,94,63.87,34.32,27.32,5.21
Izumo,20,JP,1584564054,93,35.37,132.77,42.8,3.36
Morris,1,US,1584563848,46,40.83,-74.53,57.99,10.29
Nome,90,US,1584564054,74,64.5,-165.41,28.4,17.22
Salamanca,63,ES,1584564054,76,40.83,-6.0,53.6,3.36
Khasan,100,RU,1584564055,88,42.43,130.64,33.08,2.19
Antofagasta,20,CL,1584564055,73,-23.65,-70.4,69.8,14.99
Malanje,97,AO,1584564055,95,-9.54,16.34,65.3,2.66
Yinchuan,0,CN,1584564055,12,38.47,106.27,44.01,5.01
Babushkin,100,RU,1584564055,97,51.71,105.86,23.9,3.85
Antalaha,46,MG,1584564055,82,-14.9,50.28,80.96,6.78
Caconda,100,AO,1584564055,98,-13.73,15.07,57.74,3.4
Nevel',100,RU,1584564055,80,56.02,29.93,48.38,14.92
Xinmin,100,CN,1584563943,35,41.99,122.83,41.0,6.71
